City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Say,NE,2021-02-07 20:19:42,13.1007,2.3689,86.0,10,56,6.91,dust
166,Alofi,NU,2021-02-07 20:19:42,-19.0595,-169.9187,82.4,83,40,10.36,scattered clouds
167,Puerto Rondon,CO,2021-02-07 20:19:43,6.2805,-71.1,91.38,44,100,9.42,overcast clouds
168,Moussoro,TD,2021-02-07 20:19:43,13.6408,16.4901,74.01,17,0,12.33,clear sky
169,Lumphat,KH,2021-02-07 20:19:43,13.4878,106.9816,71.28,74,18,8.95,few clouds
170,Lakki Marwat,PK,2021-02-07 20:19:43,32.6079,70.9114,56.86,45,0,1.05,clear sky
171,Lasa,IT,2021-02-07 20:19:43,46.6166,10.7002,39.2,100,90,1.43,mist
172,Bathsheba,BB,2021-02-07 20:14:53,13.2167,-59.5167,82.4,57,75,24.16,broken clouds
173,Nioro,GM,2021-02-07 20:19:44,13.35,-15.75,81.34,15,92,7.27,overcast clouds
174,Reinosa,ES,2021-02-07 20:19:44,42.9996,-4.138,50.0,87,75,4.61,broken clouds
175,Balasheyka,RU,2021-02-07 20:19:44,53.2841,48.0851,-4.92,89,58,10.89,broken clouds
176,Russell,US,2021-02-07 20:15:27,32.3502,-85.1999,55.4,47,1,5.75,clear sky
177,Petropavlovsk-Kamchatskiy,RU,2021-02-07 20:19:45,53.0452,158.6483,23.0,74,20,6.71,light snow
178,Cherskiy,RU,2021-02-07 20:19:45,68.75,161.3,-4.02,69,12,0.96,few clouds
179,Sharanga,RU,2021-02-07 20:20:08,57.1775,46.5396,-17.95,87,82,10.09,broken clouds
180,Vao,NC,2021-02-07 20:20:11,-22.6667,167.4833,77.02,84,69,0.6,broken clouds
181,Kamaishi,JP,2021-02-07 20:20:11,39.2667,141.8833,26.1,87,3,13.06,clear sky
182,Sitka,US,2021-02-07 20:20:11,57.0531,-135.33,33.8,47,1,5.75,clear sky
183,Jijiga,ET,2021-02-07 20:20:11,9.35,42.8,58.08,87,27,7.23,scattered clouds
