City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Maragogi,BR,80.98,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
614,Nelson Bay,AU,69.8,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
619,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
621,Bara,NG,78.12,scattered clouds,10.3744,10.7288,
624,Durango,MX,72.59,overcast clouds,24.8333,-104.8333,
628,Bom Jesus,BR,83.01,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
632,Bang Saphan,TH,72.79,clear sky,11.2126,99.5117,Ladawan Boutique Hotel
634,Sehithwa,BW,69.21,moderate rain,-20.4667,22.7167,MONLEK GUEST HOUSE
636,Ahuimanu,US,75.2,few clouds,21.4447,-157.8378,Paradise Bay Resort
638,Tecoanapa,MX,83.88,few clouds,16.5167,-98.75,Hotel Manglares
647,Batticaloa,LK,77.76,few clouds,7.7102,81.6924,Grand Star Guest House
648,Balikpapan,ID,74.89,overcast clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
649,Ritchie,ZA,75.2,broken clouds,-29.038,24.6028,Riverside County Club Kimberley
650,Isiolo,KE,73.2,overcast clouds,0.3546,37.5822,Gaddisa Hotel
653,Samarinda,ID,75.0,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
659,Pandan,PH,78.93,overcast clouds,14.0453,124.1694,Bonifacio Lodge
661,Tahoua,NE,78.22,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
662,Innisfail,AU,76.73,overcast clouds,-17.5333,146.0333,Moondarra Motel
663,Tchollire,CM,76.93,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
665,Batangafo,CF,75.47,broken clouds,7.3008,18.2833,OCHA Office
667,Sembakung,ID,73.4,light rain,3.8167,117.25,
672,Antalaha,MG,77.34,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
677,Ngaoundere,CM,68.13,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
684,Pecanha,BR,70.25,light rain,-18.5486,-42.5569,PEÇANHA GRANDE HOTEL
685,Bundaberg,AU,82.0,broken clouds,-24.85,152.35,Takalvan Motel
687,Augusto Correa,BR,82.71,moderate rain,-1.0217,-46.635,Fazenda Bacuri
690,Gondanglegi,ID,74.95,light rain,-7.7479,112.0132,Gg. Munasir Homestay
691,Buala,SB,80.44,light rain,-8.145,159.5921,Maringe Lagoon Lodge
