City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Auki,SB,78.78,clear sky,-8.7676,160.7034,Auki Motel
430,Mahibadhoo,MV,80.96,clear sky,3.7833,72.9667,Omadhoo Inn
431,Ligayan,PH,81.23,overcast clouds,4.6533,119.4706,
432,Leopoldina,BR,68.68,moderate rain,-21.5319,-42.6431,Palace Hotel
434,Sinnamary,GF,78.6,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
439,Makakilo City,US,77.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
441,Sibolga,ID,76.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
443,Toamasina,MG,78.8,scattered clouds,-18.1667,49.3833,Hotel H1
444,Hervey Bay,AU,79.0,few clouds,-25.2986,152.8535,Shelly Bay Resort
445,Morros,BR,74.7,overcast clouds,-9.4467,-46.3003,
446,Eyl,SO,75.51,clear sky,7.9803,49.8164,Amiin Hotel
451,Coquimbo,CL,68.0,clear sky,-29.9533,-71.3436,Hotel San Juan
454,Kayes,ML,79.54,clear sky,14.0,-11.0,
462,Biak,ID,77.22,light rain,-0.9131,122.8766,Penginapan Kim
467,Olupona,NG,84.18,overcast clouds,7.6,4.1833,Mark Hall
468,Sikonge,TZ,68.0,light rain,-5.6333,32.7667,Daukilo Lodge
469,Liwale,TZ,70.93,overcast clouds,-9.7667,37.9333,Samoma Lodge
471,Sabancuy,MX,79.45,clear sky,18.9667,-91.1833,pulpo
474,Puerto Narino,CO,78.8,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
475,Kisangani,CD,72.34,overcast clouds,0.5167,25.2,Grand Ramela Hotel
476,Sorong,ID,78.69,overcast clouds,-0.8833,131.25,The Waigo Hotel
479,Soyo,AO,80.85,overcast clouds,-6.1349,12.3689,Hotel Mpampa
480,Nhulunbuy,AU,80.6,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
482,Avon Park,US,82.0,scattered clouds,27.5959,-81.5062,Econo Lodge Sebring
489,Amapa,BR,77.86,overcast clouds,1.0,-52.0,
490,Kloulklubed,PW,77.0,moderate rain,7.0419,134.2556,Storyboard Beach Resort
491,Isangel,VU,78.8,few clouds,-19.55,169.2667,Volcano Sea View Tree House
497,Yangambi,CD,72.32,overcast clouds,0.8102,24.4336,
498,Kindu,CD,74.59,overcast clouds,-2.95,25.95,Résidence Okanda
500,Kerema,PG,78.39,very heavy rain,-7.9631,145.7785,Frena Lodge
502,Cunha,BR,75.2,light rain,-23.0744,-44.9597,Pousada Calu
503,Embu,BR,75.2,broken clouds,-23.6489,-46.8522,Hotel Rancho Silvestre
506,Antofagasta,CL,69.8,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
508,Morondava,MG,82.6,moderate rain,-20.2833,44.2833,La Case Bambou
512,Nieuw Amsterdam,SR,80.6,scattered clouds,5.8833,-55.0833,Hotel Stardust
513,Bayeux,BR,84.2,broken clouds,-7.125,-34.9322,Infinity Motel
