City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Awjilah,LY,2021-02-07 14:18:43,29.1081,21.2869,80.37,16,100,13.42
89,Kavaratti,IN,2021-02-07 14:18:43,10.5669,72.642,81.7,66,0,8.66
90,Adrar,MR,2021-02-07 14:18:43,20.5022,-10.0711,71.31,22,0,18.5
91,Tura,IN,2021-02-07 14:15:29,25.5198,90.2201,59.67,53,29,2.39
92,Provideniya,RU,2021-02-07 14:18:44,64.3833,-173.3,-4.04,77,0,14.23
93,Bethel,US,2021-02-07 14:18:44,41.3712,-73.414,32.0,54,90,4.56
94,Sao Filipe,CV,2021-02-07 14:18:44,14.8961,-24.4956,71.15,65,36,12.17
95,Tamandare,BR,2021-02-07 14:18:44,-8.7597,-35.1047,85.14,61,97,8.9
96,Chodavaram,IN,2021-02-07 14:18:44,17.8333,82.95,75.2,78,43,5.75
97,Paamiut,GL,2021-02-07 14:18:44,61.994,-49.6678,34.32,76,81,19.01
98,Sambava,MG,2021-02-07 14:18:44,-14.2667,50.1667,83.52,72,98,6.78
99,Hamilton,US,2021-02-07 14:15:58,39.1834,-84.5333,16.0,73,20,12.66
100,Katherine,AU,2021-02-07 14:18:45,-14.4667,132.2667,75.2,94,75,5.75
101,Dwarka,IN,2021-02-07 14:18:45,22.2394,68.9678,72.88,44,0,6.13
102,Thompson,CA,2021-02-07 14:18:45,55.7435,-97.8558,-36.4,61,75,13.8
103,Flinders,AU,2021-02-07 14:16:55,-34.5833,150.8552,69.01,79,100,4.0
104,Biak,ID,2021-02-07 14:18:45,-0.9131,122.8766,77.77,83,100,2.89
105,Umm Kaddadah,SD,2021-02-07 14:17:25,13.6017,26.6876,83.28,13,0,15.9
106,Nouadhibou,MR,2021-02-07 14:18:45,20.931,-17.0347,73.4,35,0,17.27
107,Jijiga,ET,2021-02-07 14:18:45,9.35,42.8,69.82,54,75,20.78
108,Ginda,IN,2021-02-07 14:18:45,30.6945,78.4932,47.86,49,0,5.08
109,Tuktoyaktuk,CA,2021-02-07 14:18:46,69.4541,-133.0374,-20.2,76,90,19.57
110,Beloha,MG,2021-02-07 14:18:46,-25.1667,45.05,84.9,62,40,13.78
111,Atuona,PF,2021-02-07 14:17:21,-9.8,-139.0333,78.87,75,51,21.25
112,Avarua,CK,2021-02-07 14:17:27,-21.2078,-159.775,77.0,94,40,4.61
113,Mount Isa,AU,2021-02-07 14:18:46,-20.7333,139.5,78.8,94,75,5.75
114,Dikson,RU,2021-02-07 14:18:46,73.5069,80.5464,-26.05,87,91,9.8
115,Xai-Xai,MZ,2021-02-07 14:18:46,-25.0519,33.6442,83.41,63,97,9.64
116,Lompoc,US,2021-02-07 14:18:46,34.6391,-120.4579,48.0,93,20,3.44
117,Omis,HR,2021-02-07 14:18:46,43.4447,16.6886,59.0,77,75,17.27
118,Tabou,CI,2021-02-07 14:18:47,4.423,-7.3528,83.89,74,94,7.09
119,Hilo,US,2021-02-07 14:18:47,19.7297,-155.09,66.2,59,75,6.91
120,Kochinda,IN,2021-02-07 14:18:47,21.7333,84.35,63.46,30,0,0.83
121,Khani,GE,2021-02-07 14:18:47,41.9563,42.9566,46.4,100,75,4.61
122,Rayevskiy,RU,2021-02-07 14:18:47,54.0658,54.9468,-5.48,87,100,12.1
123,Puerto Ayora,EC,2021-02-07 14:18:47,-0.7393,-90.3518,80.6,78,0,12.66
124,Hermanus,ZA,2021-02-07 14:18:47,-34.4187,19.2345,72.0,61,48,1.99
125,Dakar,SN,2021-02-07 14:16:46,14.6937,-17.4441,73.4,46,0,18.41
126,Lata,PT,2021-02-07 14:18:47,40.1629,-8.3327,54.0,79,100,3.0
127,Angoram,PG,2021-02-07 14:18:48,-4.0625,144.0661,75.34,97,99,0.76
128,Chalus,IR,2021-02-07 14:18:48,36.655,51.4204,53.6,94,90,4.61
129,Castro,BR,2021-02-07 14:18:48,-24.7911,-50.0119,70.02,52,0,4.16
